reportedyear,FSA,reportedmonth,,MCI,Count of MCI
2017,M1B,January,1.00,Assault,29
2017,M1B,January,1.00,Auto Theft,6
2017,M1B,January,1.00,Break and Enter,12
2017,M1B,January,1.00,Robbery,2
2017,M1B,January,1.00,Theft Over,1
2017,M1C,January,1.00,Assault,2
2017,M1C,January,1.00,Break and Enter,3
2017,M1C,January,1.00,Robbery,4
2017,M1E,January,1.00,Assault,39
2017,M1E,January,1.00,Auto Theft,2
2017,M1E,January,1.00,Break and Enter,9
2017,M1E,January,1.00,Robbery,14
2017,M1G,January,1.00,Assault,20
2017,M1G,January,1.00,Auto Theft,1
2017,M1G,January,1.00,Break and Enter,2
2017,M1G,January,1.00,Robbery,3
2017,M1G,January,1.00,Theft Over,1
2017,M1H,January,1.00,Assault,15
2017,M1H,January,1.00,Break and Enter,4
2017,M1H,January,1.00,Robbery,4
2017,M1H,January,1.00,Theft Over,4
2017,M1J,January,1.00,Assault,16
2017,M1J,January,1.00,Break and Enter,6
2017,M1J,January,1.00,Robbery,3
2017,M1J,January,1.00,Theft Over,2
2017,M1K,January,1.00,Assault,35
2017,M1K,January,1.00,Auto Theft,1
2017,M1K,January,1.00,Break and Enter,7
2017,M1K,January,1.00,Robbery,7
2017,M1L,January,1.00,Assault,24
2017,M1L,January,1.00,Auto Theft,3
2017,M1L,January,1.00,Break and Enter,13
2017,M1L,January,1.00,Robbery,8
2017,M1L,January,1.00,Theft Over,1
2017,M1M,January,1.00,Assault,17
2017,M1M,January,1.00,Auto Theft,2
2017,M1M,January,1.00,Break and Enter,2
2017,M1M,January,1.00,Robbery,1
2017,M1M,January,1.00,Theft Over,2
2017,M1N,January,1.00,Assault,7
2017,M1N,January,1.00,Break and Enter,5
2017,M1P,January,1.00,Assault,37
2017,M1P,January,1.00,Auto Theft,5
2017,M1P,January,1.00,Break and Enter,10
2017,M1P,January,1.00,Robbery,3
2017,M1P,January,1.00,Theft Over,2
2017,M1R,January,1.00,Assault,12
2017,M1R,January,1.00,Auto Theft,1
2017,M1R,January,1.00,Break and Enter,6
2017,M1R,January,1.00,Robbery,4
2017,M1S,January,1.00,Assault,12
2017,M1S,January,1.00,Auto Theft,3
2017,M1S,January,1.00,Break and Enter,8
2017,M1S,January,1.00,Robbery,6
2017,M1S,January,1.00,Theft Over,2
2017,M1T,January,1.00,Assault,9
2017,M1T,January,1.00,Auto Theft,4
2017,M1T,January,1.00,Break and Enter,8
2017,M1T,January,1.00,Robbery,5
2017,M1T,January,1.00,Theft Over,1
2017,M1V,January,1.00,Assault,15
2017,M1V,January,1.00,Auto Theft,3
2017,M1V,January,1.00,Break and Enter,14
2017,M1V,January,1.00,Robbery,11
2017,M1V,January,1.00,Theft Over,3
2017,M1W,January,1.00,Assault,8
2017,M1W,January,1.00,Auto Theft,3
2017,M1W,January,1.00,Break and Enter,7
2017,M1W,January,1.00,Robbery,1
2017,M1X,January,1.00,Assault,13
2017,M2H,January,1.00,Assault,6
2017,M2H,January,1.00,Auto Theft,2
2017,M2H,January,1.00,Break and Enter,7
2017,M2H,January,1.00,Robbery,2
2017,M2H,January,1.00,Theft Over,1
2017,M2J,January,1.00,Assault,22
2017,M2J,January,1.00,Auto Theft,4
2017,M2J,January,1.00,Break and Enter,5
2017,M2J,January,1.00,Robbery,3
2017,M2J,January,1.00,Theft Over,2
2017,M2K,January,1.00,Assault,4
2017,M2K,January,1.00,Auto Theft,1
2017,M2K,January,1.00,Break and Enter,5
2017,M2K,January,1.00,Robbery,1
2017,M2L,January,1.00,Assault,5
2017,M2L,January,1.00,Auto Theft,1
2017,M2L,January,1.00,Break and Enter,7
2017,M2M,January,1.00,Assault,16
2017,M2M,January,1.00,Auto Theft,1
2017,M2M,January,1.00,Break and Enter,17
2017,M2M,January,1.00,Robbery,8
2017,M2M,January,1.00,Theft Over,1
2017,M2N,January,1.00,Assault,23
2017,M2N,January,1.00,Break and Enter,14
2017,M2N,January,1.00,Robbery,15
2017,M2N,January,1.00,Theft Over,4
2017,M2P,January,1.00,Assault,1
2017,M2P,January,1.00,Break and Enter,5
2017,M2R,January,1.00,Assault,8
2017,M2R,January,1.00,Auto Theft,1
2017,M2R,January,1.00,Break and Enter,9
2017,M2R,January,1.00,Robbery,6
2017,M2R,January,1.00,Theft Over,1
2017,M3A,January,1.00,Assault,13
2017,M3A,January,1.00,Auto Theft,4
2017,M3A,January,1.00,Break and Enter,2
2017,M3A,January,1.00,Robbery,5
2017,M3A,January,1.00,Theft Over,1
2017,M3B,January,1.00,Assault,2
2017,M3B,January,1.00,Auto Theft,1
2017,M3B,January,1.00,Break and Enter,7
2017,M3C,January,1.00,Assault,12
2017,M3C,January,1.00,Auto Theft,1
2017,M3C,January,1.00,Break and Enter,5
2017,M3C,January,1.00,Robbery,2
2017,M3C,January,1.00,Theft Over,2
2017,M3H,January,1.00,Assault,10
2017,M3H,January,1.00,Auto Theft,5
2017,M3H,January,1.00,Break and Enter,12
2017,M3H,January,1.00,Robbery,4
2017,M3H,January,1.00,Theft Over,2
2017,M3J,January,1.00,Assault,27
2017,M3J,January,1.00,Auto Theft,18
2017,M3J,January,1.00,Break and Enter,7
2017,M3J,January,1.00,Robbery,4
2017,M3J,January,1.00,Theft Over,1
2017,M3K,January,1.00,Assault,7
2017,M3K,January,1.00,Robbery,1
2017,M3L,January,1.00,Assault,18
2017,M3L,January,1.00,Auto Theft,3
2017,M3L,January,1.00,Break and Enter,3
2017,M3L,January,1.00,Robbery,5
2017,M3L,January,1.00,Theft Over,1
2017,M3M,January,1.00,Assault,17
2017,M3M,January,1.00,Robbery,1
2017,M3M,January,1.00,Theft Over,1
2017,M3N,January,1.00,Assault,27
